name,fips,mi2
"Hudson, NJ",34017,62.26
"Grant, NM",35017,3967.79
"Chenango, NY",36017,898.76
"Wayne, NY",36117,1384.18
"Bladen, NC",37017,887.15
"Martin, NC",37117,462.9
"Cass, ND",38017,1768
"Butler, OH",39017,470.24
"Morrow, OH",39117,407.38
"Canadian, OK",40017,905.25
"Pawnee, OK",40117,594.92
"Deschutes, OR",41017,3054.96
"Bucks, PA",42017,622.15
"Tioga, PA",42117,1137.35
"Calhoun, SC",45017,392.36
"Buffalo, SD",46017,487.46
"Stanley, SD",46117,1517.06
"Carroll, TN",47017,599.89
"Marshall, TN",47117,376.13
"Bailey, TX",48017,827.43
"Deaf Smith, TX",48117,1498.36
"Hill, TX",48217,985.71
"Martin, TX",48317,915.69
"Shackelford, TX",48417,915.61
"Garfield, UT",49017,5208.5
"Orange, VT",50017,691.97
"Bath, VA",51017,534.59
"Mecklenburg, VA",51117,679.34
"Douglas, WA",53017,1848.74
"Doddridge, WV",54017,320.51
"Chippewa, WI",55017,1041.36
"Sheboygan, WI",55117,1271.07
"Hot Springs, WY",56017,2006.32
"Cherokee, AL",1019,600
"Sumter, AL",1119,913.35
"Pima, AZ",4019,9189.44
"Clark, AR",5019,882.68
"Pulaski, AR",5119,807.91
"Fresno, CA",6019,6017.89
"Clear Creek, CO",8019,396.47
"Teller, CO",8119,558.99
"Clay, FL",12019,643.73
"Sumter, FL",12119,580.35
"Berrien, GA",13019,457.81
"Franklin, GA",13119,266.38
"Oconee, GA",13219,186.15
"Wilkinson, GA",13319,452.03
"Bonneville, ID",16019,1900.74
"Champaign, IL",17019,997.56
"Madison, IL",17119,740.39
"Clark, IN",18019,376.23
"Owen, IN",18119,387.85
"Buchanan, IA",19019,573.38
"Lyon, IA",19119,587.68
"Chautauqua, KS",20019,644.87
"Meade, KS",20119,979.72
"Boyd, KY",21019,161.83
"Knott, KY",21119,353.03
"Todd, KY",21219,377
"Calcasieu, LA",22019,1094.42
"Webster, LA",22119,615.13
"Penobscot, ME",23019,3556.42
"Dorchester, MD",24019,982.97
"Nantucket, MA",25019,303.28
"Benzie, MI",26019,859.72
"Montmorency, MI",26119,562.46
"Carver, MN",27019,376.23
"Polk, MN",27119,1997.89
"Choctaw, MS",28019,419.84
"Quitman, MS",28119,406.52
"Boone, MO",29019,691.19
"McDonald, MO",29119,539.74
"Warren, MO",29219,437.76
"Daniels, MT",30019,1426.57
"Buffalo, NE",31019,975.31
"Madison, NE",31119,575.09
"Lyon, NV",32019,2016.49
"Sullivan, NH",33019,551.98
"Hunterdon, NJ",34019,437.85
"Guadalupe, NM",35019,3031.81
"Clinton, NY",36019,1117.68
"Westchester, NY",36119,500.21
"Brunswick, NC",37019,1050.06
"Mecklenburg, NC",37119,549.74
"Cavalier, ND",38019,1510.22
"Carroll, OH",39019,399.02
"Muskingum, OH",39119,672.61
"Carter, OK",40019,833.78
"Payne, OK",40119,697.18
"Douglas, OR",41019,5134.06
"Butler, PA",42019,794.85
"Union, PA",42119,317.15
"Charleston, SC",45019,1357.14
"Butte, SD",46019,2266.43
"Sully, SD",46119,1070.42
"Carter, TN",47019,347.64
"Maury, TN",47119,615.57
"Bandera, TX",48019,797.6
"Delta, TX",48119,277.94
"Hockley, TX",48219,908.57
"Mason, TX",48319,932.26
"Shelby, TX",48419,834.6
"Grand, UT",49019,3694.3
"Orleans, VT",50019,720.33
"Bedford, VA",51019,769.36
"Middlesex, VA",51119,210.76
"Ferry, WA",53019,2257.46
"Fayette, WV",54019,668.4
"Clark, WI",55019,1219.14
"Taylor, WI",55119,984.58
"Johnson, WY",56019,4174.86
"Anchorage, AK",2020,1961.51
"Sitka, AK",2220,4849.75
"Bristol, VA",51520,11.59
"Franklin, VA",51620,7.72
